Provedor             Quantidade de cidades
--------             ---------------------
ABase                 31 cidades - Pronto para a RTC
Actcon                 8 cidades
Adm                   11 cidades
Agili                 20 cidades - Pronto para a RTC
Aspec                 28 cidades
AssessorPublico        4 cidades
Asten                  1 cidade
Bauhaus                9 cidades
Betha                244 cidades - Pronto para a RTC
Centi                 41 cidades
CIGA                   1 cidade
Citta                 22 cidades - Pronto para a RTC
Conam                 12 cidades - Pronto para a RTC
Coplan                33 cidades - Pronto para a RTC
CTA                    2 cidades
CTAConsult             5 cidades
DataSmart              7 cidades
DBSeller               4 cidades
Desenvolve             4 cidades
Digifred              11 cidades - Pronto para a RTC
DSF                    5 cidades
eGoverneISS            1 cidade 
EL                   109 cidades - Pronto para a RTC
Elmar                 40 cidades
EloTech               90 cidades - Pronto para a RTC
Equiplano             27 cidades - Pronto para a RTC
eReceita               5 cidades
Etherium               1 cidade  - Pronto para a RTC
Facundo                1 cidade  - Pronto para a RTC
FGMaiss                1 cidade  - Pronto para a RTC
fintelISS              4 cidades - Pronto para a RTC
Fiorilli             383 cidades - Pronto para a RTC
Fisco                 46 cidades
FISSLex                4 cidades
Futurize             111 cidades
GeisWeb                7 cidades - Pronto para a RTC
GestaoISS             10 cidades - Pronto para a RTC
Giap                   5 cidades
Ginfes                19 cidades - Pronto para a RTC
Giss                  23 cidades - Pronto para a RTC (GissOnline) 
GovDigital            22 cidades - Pronto para a RTC
Horus                  2 cidades
iiBrasil               2 cidades
infisc                 9 cidades - Pronto para a RTC
Intertec               1 cidade
IPM                  156 cidades - Pronto para a RTC
ISSBarueri             1 cidade  - Pronto para a RTC
ISSCamacari            1 cidade
ISSCampinas            1 cidade
ISSDigital             4 cidades (Quasar) 
ISSDSF                 2 cidades
ISSe                   1 cidade  - Pronto para a RTC
ISSFortaleza           1 cidade  - Pronto para a RTC
ISSIntel              21 cidades
ISSLegal               9 cidades
ISSMap                10 cidades
ISSNatal               1 cidade  - Pronto para a RTC
ISSNet                23 cidades - Pronto para a RTC (NotaControl)
ISSSalvador            1 cidade
ISSSaoPaulo            1 cidade  - Pronto para a RTC
Kalana                 3 cidades
MegaSoft             117 cidades
MetropolisWeb          2 cidades
ModernizacaoPublica    6 cidades - Pronto para a RTC
NEAInformatica         2 cidades
NFSeBrasil            24 cidades (Memory) 
PadraoNacional      2137 cidades - Pronto para a RTC
Prescon                1 cidade
PriMax                 5 cidades - Pronto para a RTC
Prodata                9 cidades
Pronim               159 cidades - Pronto para a RTC
Publica               16 cidades - Pronto para a RTC
PublicSoft            23 cidades
RLZ                    9 cidades - Pronto para a RTC
Saatri                40 cidades
SafeWeb                1 cidade
Sam                    6 cidades - Pronto para a RTC
SH3                   16 cidades
Siappa                 1 cidade
SigCorp                9 cidades - Pronto para a RTC
Sigep                  9 cidades
SigISS                 4 cidades - Pronto para a RTC
SigISSWeb             11 cidades - Pronto para a RTC
SilTecnologia          9 cidades - Pronto para a RTC
SimplISS              22 cidades - Pronto para a RTC
Sintese               62 cidades
Sistemas4R             2 cidades
SpeedGov              30 cidades - Pronto para a RTC
SSInformatica          1 cidade
Sudoeste               7 cidades
SysISS                 5 cidades
Tecnos                37 cidades
Tinus                 37 cidades - Pronto para a RTC
Tiplan                 7 cidades - Pronto para a RTC
Tributus              73 cidades
VersaTecnologia       14 cidades - Pronto para a RTC
WebFisco               3 cidades - Pronto para a RTC
WebISS                80 cidades - Pronto para a RTC
XTRTecnologia          7 cidades


Abaco               zero cidades
ADPM                zero cidades
AEG                 zero cidades
BHISS               zero cidades
Contass             zero cidades
DeISS               zero cidades
eISS                zero cidades
geNFe               zero cidades
GovBr               zero cidades
Governa             zero cidades
Isaneto             zero cidades
ISSCambe            zero cidades
ISSCuritiba         zero cidades
ISSGoiania          zero cidades
ISSJoinville        zero cidades
ISSLencois          zero cidades
ISSPortoVelho       zero cidades
ISSRecife           zero cidades
ISSRio              zero cidades
ISSSJP              zero cidades
ISSVitoria          zero cidades
Lexsom              zero cidades
Libre               zero cidades
Link3               zero cidades
Mitra               zero cidades
NFEletronica        zero cidades
NotaInteligente     zero cidades
PRODAUB             zero cidades
Siam                zero cidades
SiapNet             zero cidades
SiapSistemas        zero cidades
Siat                zero cidades
Simple              zero cidades
SisPMJP             zero cidades
SmarAPD             zero cidades
Smart4              zero cidades (Ativ!)  
SoftPlan            zero cidades
SystemPro           zero cidades
TcheInfo            zero cidades
Thema               zero cidades
Virtual             zero cidades
